species	assembly	chrom	length	n_genes	track	symbol_source
human	hg38	chrM	16569	13	ncbiRefSeqCurated	from-track
chimp	panTro6	chrM	16554	13	ncbiRefSeqCurated	from-track
gorilla	gorGor6	chrM	16412	13	ncbiRefSeqCurated	from-track
orangutan	ponAbe3	chrM	16499	13	ncbiRefSeqCurated	from-track
rhesus	rheMac10	chrM	16564	13	ncbiRefSeqCurated	from-track
marmoset	calJac4	chrM	16499	13	ncbiRefSeqCurated	from-track
mouse	mm39	chrM	16299	13	ncbiRefSeqCurated	from-track
rat	rn7	chrM	16313	13	ncbiRefSeqCurated	from-track
rabbit	oryCun2	chrM	17245	13	ncbiRefSeqCurated	from-track
guineapig	cavPor3	chrM	16801	13	ncbiRefSeqCurated	from-track
dog	canFam6	chrM	16727	13	ncbiRefSeqCurated	from-track
cat	felCat9	chrM	17009	13	ncbiRefSeqCurated	from-track
horse	equCab3	chrM	16660	13	ncbiRefSeqCurated	from-track
cow	bosTau9	chrM	16338	13	ncbiRefSeqCurated	from-track
sheep	oviAri4	chrM	16616	13	ncbiRefSeqCurated	from-track
pig	susScr11	chrM	16613	13	ncbiRefSeqCurated	from-track
opossum	monDom5	chrM	17079	13	ensGene	inferred
platypus	ornAna2	chrM	17019	13	ensGene	inferred
chicken	galGal6	chrM	16775	13	ensGene	inferred
turkey	melGal5	chrM	16719	13	ncbiRefSeqCurated	from-track
xenopus	xenTro10	chrM	17610	13	ncbiRefSeqCurated	from-track
zebrafish	danRer11	chrM	16596	13	ncbiRefSeqCurated	from-track
