species	gene_id	symbol	start	end	strand	symbol_source
human	hg38_ND1	ND1	3307	4262	+	from-track
human	hg38_ND2	ND2	4470	5511	+	from-track
human	hg38_COX1	COX1	5904	7445	+	from-track
human	hg38_COX2	COX2	7586	8269	+	from-track
human	hg38_ATP8	ATP8	8366	8572	+	from-track
human	hg38_ATP6	ATP6	8527	9207	+	from-track
human	hg38_COX3	COX3	9207	9990	+	from-track
human	hg38_ND3	ND3	10059	10404	+	from-track
human	hg38_ND4L	ND4L	10470	10766	+	from-track
human	hg38_ND4	ND4	10760	12137	+	from-track
human	hg38_ND5	ND5	12337	14148	+	from-track
human	hg38_ND6	ND6	14149	14673	-	from-track
human	hg38_CYTB	CYTB	14747	15887	+	from-track
chimp	panTro6_ND1	ND1	2725	3681	+	from-track
chimp	panTro6_ND2	ND2	3888	4931	+	from-track
chimp	panTro6_COX1	COX1	5321	6862	+	from-track
chimp	panTro6_COX2	COX2	7003	7686	+	from-track
chimp	panTro6_ATP8	ATP8	7784	7990	+	from-track
chimp	panTro6_ATP6	ATP6	7945	8625	+	from-track
chimp	panTro6_COX3	COX3	8625	9408	+	from-track
chimp	panTro6_ND3	ND3	9477	9822	+	from-track
chimp	panTro6_ND4L	ND4L	9888	10184	+	from-track
chimp	panTro6_ND4	ND4	10178	11555	+	from-track
chimp	panTro6_ND5	ND5	11755	13566	+	from-track
chimp	panTro6_ND6	ND6	13567	14091	-	from-track
chimp	panTro6_CYTB	CYTB	14165	15305	+	from-track
gorilla	gorGor6_ND1	ND1	2726	3681	+	from-track
gorilla	gorGor6_ND2	ND2	3889	4930	+	from-track
gorilla	gorGor6_COX1	COX1	5326	6862	+	from-track
gorilla	gorGor6_COX2	COX2	7009	7692	+	from-track
gorilla	gorGor6_ATP8	ATP8	7790	7996	+	from-track
gorilla	gorGor6_ATP6	ATP6	7951	8631	+	from-track
gorilla	gorGor6_COX3	COX3	8631	9414	+	from-track
gorilla	gorGor6_ND3	ND3	9483	9828	+	from-track
gorilla	gorGor6_ND4L	ND4L	9894	10190	+	from-track
gorilla	gorGor6_ND4	ND4	10184	11561	+	from-track
gorilla	gorGor6_ND5	ND5	11761	13572	+	from-track
gorilla	gorGor6_ND6	ND6	13573	14097	-	from-track
gorilla	gorGor6_CYTB	CYTB	14171	15311	+	from-track
orangutan	ponAbe3_ND1	ND1	2732	3687	+	from-track
orangutan	ponAbe3_ND2	ND2	3895	4936	+	from-track
orangutan	ponAbe3_COX1	COX1	5342	6884	+	from-track
orangutan	ponAbe3_COX2	COX2	7023	7706	+	from-track
orangutan	ponAbe3_ATP8	ATP8	7822	8028	+	from-track
orangutan	ponAbe3_ATP6	ATP6	7983	8663	+	from-track
orangutan	ponAbe3_COX3	COX3	8663	9446	+	from-track
orangutan	ponAbe3_ND3	ND3	9515	9860	+	from-track
orangutan	ponAbe3_ND4L	ND4L	9926	10222	+	from-track
orangutan	ponAbe3_ND4	ND4	10216	11593	+	from-track
orangutan	ponAbe3_ND5	ND5	11797	13602	+	from-track
orangutan	ponAbe3_ND6	ND6	13603	14127	-	from-track
orangutan	ponAbe3_CYTB	CYTB	14201	15341	+	from-track
rhesus	rheMac10_ND1	ND1	3259	4213	+	from-track
rhesus	rheMac10_ND2	ND2	4421	5462	+	from-track
rhesus	rheMac10_COX1	COX1	5850	7418	+	from-track
rhesus	rheMac10_COX2	COX2	7532	8215	+	from-track
rhesus	rheMac10_ATP8	ATP8	8357	8563	+	from-track
rhesus	rheMac10_ATP6	ATP6	8518	9198	+	from-track
rhesus	rheMac10_COX3	COX3	9198	9981	+	from-track
rhesus	rheMac10_ND3	ND3	10050	10395	+	from-track
rhesus	rheMac10_ND4L	ND4L	10461	10757	+	from-track
rhesus	rheMac10_ND4	ND4	10751	12128	+	from-track
rhesus	rheMac10_ND5	ND5	12328	14139	+	from-track
rhesus	rheMac10_ND6	ND6	14140	14667	-	from-track
rhesus	rheMac10_CYTB	CYTB	14741	15881	+	from-track
marmoset	calJac4_ND1	ND1	2722	3677	+	from-track
marmoset	calJac4_ND2	ND2	3889	4927	+	from-track
marmoset	calJac4_COX1	COX1	5319	6858	+	from-track
marmoset	calJac4_COX2	COX2	7004	7691	+	from-track
marmoset	calJac4_ATP8	ATP8	7758	7964	+	from-track
marmoset	calJac4_ATP6	ATP6	7919	8599	+	from-track
marmoset	calJac4_COX3	COX3	8599	9382	+	from-track
marmoset	calJac4_ND3	ND3	9450	9795	+	from-track
marmoset	calJac4_ND4L	ND4L	9865	10161	+	from-track
marmoset	calJac4_ND4	ND4	10155	11529	+	from-track
marmoset	calJac4_ND5	ND5	11732	13537	+	from-track
marmoset	calJac4_ND6	ND6	13534	14067	-	from-track
marmoset	calJac4_CYTB	CYTB	14141	15280	+	from-track
mouse	mm39_ND1	ND1	2751	3707	+	from-track
mouse	mm39_ND2	ND2	3914	4951	+	from-track
mouse	mm39_COX1	COX1	5328	6872	+	from-track
mouse	mm39_COX2	COX2	7013	7696	+	from-track
mouse	mm39_ATP8	ATP8	7766	7969	+	from-track
mouse	mm39_ATP6	ATP6	7927	8607	+	from-track
mouse	mm39_COX3	COX3	8607	9390	+	from-track
